model,split,rows,mae,rmse,r2,mape,log_mae,log_rmse,log_r2
median_baseline,validation,21237,43816.14790224608,110346.18214123936,-0.10492298213483253,265.8791617335912,0.4757781552077419,0.6227286304270367,-0.0010206159212795551
median_baseline,test,33425,52568.1043829469,127967.91395651427,-0.1275687678354862,278.318400488134,0.5053279841193653,0.6546573189545217,-0.00796121259139837
structured_lr_v2,validation,21237,42010.8455547179,105455.83791657598,-0.009156768042527075,251.76393300113637,0.4381596276259348,0.5815547434423202,0.12697524155338202
structured_lr_v2,test,33425,50266.964141647324,122138.51298147175,-0.027178956459821935,284.0154935330104,0.4671622608085105,0.6123040516898592,0.11824073511079924
structured_text_lr_v2,validation,21237,34906.47622478326,92834.37574577623,0.2179490887500365,144.240073654752,0.334902121776452,0.4494883237316498,0.4784665303704636
structured_text_lr_v2,test,33425,41717.5645976518,105812.1583871424,0.22907522307121708,177.50387981330385,0.35493700920337684,0.4773439804084306,0.4641062825588994
